https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC
1646524800,2022-03-06 00:00:00,BTC/USDC,39364.5677068,39671.2228074,38095.82234309,38413.04468632,2709974.35342878,69.42396046
1646438400,2022-03-05 00:00:00,BTC/USDC,39152.78582198,39602.1191742,38600.0,39400.56526595,1724243.29210691,44.12156351
1646352000,2022-03-04 00:00:00,BTC/USDC,42435.74806436,42520.9507237,38590.77756044,39163.38595552,3617815.34239675,88.55440405
1646265600,2022-03-03 00:00:00,BTC/USDC,43915.23612106,44097.38564158,41837.16302561,42463.88484159,2965165.25846748,69.16099229
1646179200,2022-03-02 00:00:00,BTC/USDC,44428.05293617,45300.01976963,43359.31561326,43919.58942618,4515002.21901593,101.88122158
1646092800,2022-03-01 00:00:00,BTC/USDC,43202.12841684,45623.55500046,42826.23152682,44435.81750954,4428625.93870239,100.67140599
1646006400,2022-02-28 00:00:00,BTC/USDC,37708.03721505,44161.16381118,37467.50316666,43200.87009775,3941768.09870426,96.22996555
1645920000,2022-02-27 00:00:00,BTC/USDC,39115.54857904,39871.12604379,37000.62269929,37696.42546428,1869598.04846345,48.77764452
1645833600,2022-02-26 00:00:00,BTC/USDC,39233.05923464,40300.0,38629.71296729,39133.68822555,1437896.01521799,36.53899901
1645747200,2022-02-25 00:00:00,BTC/USDC,38387.06142332,39704.35354256,38039.25417917,39224.0029211,2456279.22786034,62.89768657
1645660800,2022-02-24 00:00:00,BTC/USDC,37215.92384825,39845.5024244,34353.16,38328.5,6691140.34863404,185.35194067
1645574400,2022-02-23 00:00:00,BTC/USDC,38241.31949391,39244.8,37094.07273582,37244.26767665,3097555.56890467,80.8730629
1645488000,2022-02-22 00:00:00,BTC/USDC,37075.4977124,38436.57115676,36375.87118953,38242.08658272,2401656.14204742,64.04482034
1645401600,2022-02-21 00:00:00,BTC/USDC,38411.13705091,39500.0,36822.0938084,37012.66366035,4285625.06485431,112.03214683
1645315200,2022-02-20 00:00:00,BTC/USDC,40085.98901674,40125.16624958,38000.0,38357.50166565,2053068.17172486,53.13941937
1645228800,2022-02-19 00:00:00,BTC/USDC,39993.40768479,40446.61650219,39626.85082147,40088.69093246,482862.23181977,12.04680374
1645142400,2022-02-18 00:00:00,BTC/USDC,40496.34442068,40972.62147287,39479.68927646,40001.7353756,2574814.0822001,63.99335758
1645056000,2022-02-17 00:00:00,BTC/USDC,43883.71713964,44181.66163129,40086.54776976,40544.96219494,3194155.56685513,75.46028272
1644969600,2022-02-16 00:00:00,BTC/USDC,44517.88941104,44517.88941104,43344.0,43897.48193996,2952954.59616114,67.22007595
1644883200,2022-02-15 00:00:00,BTC/USDC,42542.29185069,44782.77350066,42464.18884604,44568.66029441,2595505.64563577,59.11136349
1644796800,2022-02-14 00:00:00,BTC/USDC,42057.82696837,42837.7,41600.0,42546.35931567,1983638.24456571,46.90189193
1644710400,2022-02-13 00:00:00,BTC/USDC,42219.01258771,42736.8,41890.8963446,42069.86757692,783236.7220082,18.49979768
1644624000,2022-02-12 00:00:00,BTC/USDC,42398.84821707,43025.23814203,41734.0,42214.34778514,1800213.73436806,42.49272787
1644537600,2022-02-11 00:00:00,BTC/USDC,43521.27386366,43930.47367177,42000.0,42394.91229816,3147837.11991644,73.03958929
1644451200,2022-02-10 00:00:00,BTC/USDC,44424.620473,45832.04874155,43233.88036351,43515.66400746,5821471.060155,130.81403123
1644364800,2022-02-09 00:00:00,BTC/USDC,44101.31243931,44832.26846956,43162.92808709,44414.34982624,2018050.82534504,45.68266409
1644278400,2022-02-08 00:00:00,BTC/USDC,43890.8498711,45518.56656167,42719.04911684,44056.82825031,3959463.67975326,90.04390657
1644192000,2022-02-07 00:00:00,BTC/USDC,42421.06347487,44547.48632555,41695.26470005,43851.90735678,2719824.76171474,62.23870972
1644105600,2022-02-06 00:00:00,BTC/USDC,41461.05465605,42659.28654471,41172.62879435,42401.05434696,1089353.27172583,26.10356305
1644019200,2022-02-05 00:00:00,BTC/USDC,41578.85819885,41910.7553637,40967.26319384,41413.52295025,1296524.89985153,31.2356291
1643932800,2022-02-04 00:00:00,BTC/USDC,37318.13423648,41728.07116158,37043.94666537,41586.11341685,4521415.85052692,114.34013505
1643846400,2022-02-03 00:00:00,BTC/USDC,36905.71594884,37370.0,36251.81967215,37304.5067014,3040585.30961077,82.94825051
1643760000,2022-02-02 00:00:00,BTC/USDC,38739.64373093,38872.49732849,36624.06019154,36897.80733712,1397905.9540906,37.1436898
1643673600,2022-02-01 00:00:00,BTC/USDC,38489.64513044,39261.82279657,38032.58240026,38733.77853463,1796606.05769603,46.47438997
1643587200,2022-01-31 00:00:00,BTC/USDC,37935.85196963,38782.00809261,36663.87705586,38491.56991189,1760780.08674621,46.74667248
1643500800,2022-01-30 00:00:00,BTC/USDC,38152.10069811,38336.60778452,37373.0,37944.81931774,707023.089279,18.6593271
1643414400,2022-01-29 00:00:00,BTC/USDC,37695.29766412,38705.71335646,37330.23005323,38149.90429253,1341353.45751242,35.32452178
1643328000,2022-01-28 00:00:00,BTC/USDC,37144.2,38042.16167999,36164.31355706,37733.43852954,2285121.41926223,61.83798074
1643241600,2022-01-27 00:00:00,BTC/USDC,36788.09479345,37220.3598903,35528.32536321,37089.3541891,3904757.0647269,107.82680882
1643155200,2022-01-26 00:00:00,BTC/USDC,36993.49998999,38910.97310185,36285.3,36814.14860058,3653157.48611036,97.45780918
1643068800,2022-01-25 00:00:00,BTC/USDC,36679.46706183,37523.77683917,35690.15060047,36959.7812484,2937723.94322061,80.09891764
1642982400,2022-01-24 00:00:00,BTC/USDC,36277.91514854,37500.0,33000.0,36681.30909315,8473321.08142386,244.33726961
1642896000,2022-01-23 00:00:00,BTC/USDC,35062.42701611,36521.33518228,34648.18853548,36294.96731949,3384539.37767011,95.58251954
1642809600,2022-01-22 00:00:00,BTC/USDC,36422.26063496,36796.23508306,34066.62224248,35080.64814789,7537793.52755736,213.65137403
1642723200,2022-01-21 00:00:00,BTC/USDC,40693.55134215,41082.87773678,35481.17616936,36483.26933704,8871218.16138764,231.50018357
1642636800,2022-01-20 00:00:00,BTC/USDC,41737.98751998,43511.93477146,40553.8728569,40700.89834498,2372083.59063304,56.45297355
1642550400,2022-01-19 00:00:00,BTC/USDC,42404.85709561,42570.64816067,41169.69443622,41663.89691042,1562198.75679598,37.31970254
1642464000,2022-01-18 00:00:00,BTC/USDC,42210.92757797,42644.77654482,41302.60778957,42374.39321671,1467516.01526007,35.17121835
1642377600,2022-01-17 00:00:00,BTC/USDC,43089.7007112,43196.11985727,41587.0359027,42232.53931285,1096684.45244674,25.77544581
1642291200,2022-01-16 00:00:00,BTC/USDC,43089.1887624,43471.9494648,42605.34707943,43087.00211181,599968.8821006,13.93897992
1642204800,2022-01-15 00:00:00,BTC/USDC,43130.71283618,43790.0,42602.88740888,43076.26150298,1967084.5843639,45.50892161
1642118400,2022-01-14 00:00:00,BTC/USDC,42566.31156808,43450.48693958,41778.80779746,43092.29780008,2355093.37322223,55.14648496
1642032000,2022-01-13 00:00:00,BTC/USDC,43879.11535479,44451.27225866,42345.43536049,42587.32631929,1289130.45647075,29.86381443
1641945600,2022-01-12 00:00:00,BTC/USDC,42735.82861691,44285.20819292,42482.3397472,43908.12550685,2878580.82436325,66.18933176
1641859200,2022-01-11 00:00:00,BTC/USDC,41882.6199218,43128.28840629,41270.89303265,42689.99919722,2757921.06359047,65.42968791
